tp__ab_mod_tp_clan_anda_eminence_1;A temple holding is building a Anda Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Anda Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Anda Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Anda Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_ashirra_eminence_1;A temple holding is building a Ashirra Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Ashirra Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Ashirra Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Ashirra Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_assamite_eminence_1;A temple holding is building a Assamite Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Assamite Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Assamite Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Assamite Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_baali_eminence_1;A temple holding is building a Baali Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Baali Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Baali Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Baali Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_brujah_eminence_1;A temple holding is building a Brujah Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Brujah Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Brujah Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Brujah Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_cainite_eminence_1;A temple holding is building a Cainite Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Cainite Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Cainite Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Cainite Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_caitiff_eminence_1;A temple holding is building a Caitiff Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Caitiff Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Caitiff Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Caitiff Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_cappadocian_eminence_1;A temple holding is building a Cappadocian Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Cappadocian Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Cappadocian Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Cappadocian Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_einherjar_eminence_1;A temple holding is building a Einherjar Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Einherjar Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Einherjar Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Einherjar Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
tp__ab_mod_tp_clan_followerofset_eminence_1;A temple holding is building a Followerofset Recognized Court here and it will take at most 1 days to complete.;Une temple holding est construire un Followerofset Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Tempel-Halt baut hier ein Followerofset Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un templo holding est construyendo un Followerofset Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
